# author: ****
# date: ****
# version: ***
Position;sample1;sample2;sample3
-1130;2,309297146;4,131407815;5,767865271
-1120;2,333566235;4,076000352;5,75147929
-1110;2,329832529;4,098731619;5,661356395
-1100;2,363435883;4,183973871;5,573964497
-1090;2,329832529;4,195339504;5,550295858
-1080;2,359702177;4,262112602;5,528447883
-1070;2,367169589;4,297630207;5,579426491
-1060;2,421308326;4,233698518;5,618570778
-1050;2,395172384;4,229436405;5,629494766
-1040;2,473580209;4,245064151;5,677742376
-1030;2,490381886;4,226594997;5,781520255
-1020;2,497849298;4,240802039;5,841602185
-1010;2,43064259;4,257850489;5,904415112
-1000;2,445577414;4,313257953;5,984524351
-990;2,469846503;4,216650067;6,040964952
-980;2,469846503;4,253588377;6,212107419
-970;2,44931112;4,240802039;6,335912608
-960;2,454911679;4,209546546;6,37687756
-950;2,408240355;4,273478235;6,369594902
-940;2,411974061;4,263533306;6,411470187
-930;2,397039237;4,300471615;6,502503414
-920;2,391438678;4,38003105;6,495220756
-910;2,39890609;4,344513445;6,475193446
-900;2,436243149;4,355879079;6,527082385
-890;2,458645385;4,365824008;6,527992717
-880;2,460512238;4,3629826;6,600819299
-870;2,510917269;4,296209503;6,581702321
-860;2,514650975;4,354458375;6,520710059
-850;2,512784122;4,469535415;6,636322258
-840;2,52398524;4,463852598;6,720072827
-830;2,553854888;4,453907669;6,711879836
-820;2,533319505;4,479480344;6,700045517
-810;2,559455447;4,466694007;6,82567137
-800;2,581857682;4,497949499;6,814747383
-790;2,609860477;4,539149921;6,893035958
-780;2,619194742;4,571826118;6,932180246
-770;2,645330684;4,598819497;6,960400546
-760;2,589325094;4,644282032;7,021392808
-750;2,579990829;4,625812877;7,02594447
-740;2,591191947;4,534887808;6,921256259
-730;2,596792506;4,537729217;6,842967683
-720;2,5930588;4,574667526;6,742831133
-710;2,598659359;4,520680766;6,710969504
-700;2,598659359;4,466694007;6,719162494
-690;2,628529007;4,45106626;6,660901229
-680;2,617327889;4,496528795;6,759217114
-670;2,650931243;4,553356963;6,709148839
-660;2,684534597;4,608764427;6,727355485
-650;2,720004804;4,610185131;6,800182066
-640;2,764809275;4,608764427;6,72553482
-630;2,798412629;4,706793017;6,839326354
-620;2,790945217;4,705372312;6,856622667
-610;2,766676128;4,72810358;7,000455166
-600;2,790945217;4,786352452;7,102412381
-590;2,807746894;4,868753295;7,16249431
-580;2,798412629;4,844601324;7,167045972
-570;2,809613747;4,811925127;7,186162949
-560;2,804013188;4,769304001;7,127901684
-550;2,839483395;4,675537524;7,138825671
-540;2,841350248;4,669854707;7,046882112
-530;2,807746894;4,746572734;7,010468821
-520;2,785344658;4,743731326;7,128812016
-510;2,744273892;4,780669635;7,208921256
-500;2,749874451;4,770724706;7,190714611
-490;2,721871657;4,784931748;7,165225307
-480;2,75547501;4,776407522;7,206190259
-470;2,762942422;4,880118929;7,313609467
-460;2,73680648;4,917057238;7,415566682
-450;2,753608157;4,911374421;7,418297679
-440;2,779744099;5,098907376;7,655894401
